iteration	commit	metric	delta	status	guard	description
45	4f74542	0.008152	-0.001349	discard	skip	set num_b_side=150
46	52d23f1	0.011778	-0.004975	discard	skip	increase first layer width to 150
47	a3d364d	0.011703	-0.0049	discard	skip	tighten L-BFGS tolerances
48	-	0.007083	-0.00028	discard	skip	increase Adam epochs to 2700
49	-	0.007526	-0.00072	discard	skip	increase n_collocation to 45
50	e96b711	0.007369	-0.00056	discard	skip	set initial adaptive scale a=1.12
51	e7b506d	0.007188	-0.00038	discard	skip	reduce plateau scheduler patience to 400
52	-	0.007091	-0.00028	discard	skip	increase Adam learning rate to 1e-3
53	-	0.007091	-0.00028	discard	skip	increase collocation margin to 0.03
54	-	0.007091	-0.00028	discard	skip	increase overall architecture capacity (140x2...40)
55	-	0.010458	-0.00365	discard	skip	change seed to 42
56	-	0.007086	-0.00028	discard	skip	periodic resampling every 1000 epochs
57	-	0.007091	-0.00028	discard	skip	set bc_weight=25.5
58	23402b1	0.007530	-0.00072	discard	skip	add 10 internal anchor points (data_loss=1.0)
59	fe6a9ea	0.006353	0.000449	keep	skip	add 50 internal anchor points (data_loss=10.0)
60	2974a86	0.007787	-0.00143	discard	skip	increase internal anchor points to 100
61	cfff5ff	0.006899	-0.00054	discard	skip	set internal data weight lambda_data=5.0
62	-	0.006353	0.0	discard	skip	increase internal data weight lambda_data=20.0
63	-	0.006353	0.0	discard	skip	reduce internal anchor points to 25
64	-	0.006609	-0.00025	discard	skip	anchor points + resampling 1000
65	-	0.006353	0.0	discard	skip	increase L-BFGS history_size to 400
66	-	0.006353	0.0	discard	skip	set alpha_dynamic=0.8
67	-	0.006559	-0.00020	discard	skip	increase Adam epochs to 3000 (with anchors)
68	-	0.006585	-0.00023	discard	skip	soft adaptive initialization (a=1.05)
69	-	0.006353	0.0	discard	skip	adaptive initialization a=1.12 (with anchors)
70	-	0.007378	-0.00102	discard	skip	increase num_b_side to 150
71	-	0.006353	0.0	discard	skip	wider arch (130...30) with anchors
72	-	0.014546	-0.00819	discard	skip	increase analytic series terms to 100
73	e7e8cb4	0.006721	-0.00036	discard	skip	add weight_decay=1e-5 to Adam
74	-	0.007482	-0.00112	discard	skip	reduce bc_weight to 24.0
75	6cc84d3	0.006888	-0.00053	discard	skip	implement two-stage Adam (1e-4 refinement)
76	-	0.007203	-0.00085	discard	skip	increase lambda_physics to 2.0
77	-	0.006757	-0.00040	discard	skip	reduce Adam LR to 5e-4
78	-	0.006353	0.0	discard	skip	Halton anchor points distribution
79	-	0.006353	0.0	discard	skip	Asymmetric adaptive initialization
80	-	0.006353	0.0	discard	skip	Validation grid 60x60
81	-	0.006353	0.0	discard	skip	Asymmetric bottleneck architecture
